deal_id,sub_code,deal_name,status,fy,period,company,instrument_type,underlying,psl_npsl,investor_name,trustee_ar,trustee,ratio,borrowing_date,payout_date,mclr_linked_or_fixed,mclr_on_deal_date,spread,deal_roi,servicing_fee_pct,net_roi,no_of_pool_contracts,amount_securitised_deal_date,purchase_consideration_deal_date,rating,loss_estimation_rating,first_loss_facility_pct,overcollateral_pct,tranche,credit_enhancement_type,credit_enhancement_initial_amount,mrr_percent,stated_tenor_months,underlying_seasoning_months,true_sale_criteria_met,true_sale_assumption_note,processing_fees_paid,documentation_charges,external_ca_fees,legal_documentation_fees,rating_fees,trustee_fees_pa,arranger_fees
D0001,,RBL-Gold-D0001,Active,FY25,FY25 Q3,IIFL Finance Limited,PTC,Gold,NPSL,RBL Bank,Vistra ITCL,Vistra ITCL,0.8655,2024-11-05,2024-12-05,MCLR Linked,8.77,3.28,12.05,1.9358,11.2134,3570,212.81,196.26,AAA(SO),AAA(SO),0.0497,0.0,Senior,First Loss Guarantee,10.58,0.1,9,15,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.21,0.13,0.25,0.48,0.64,0.28,0.53
D0002,,Aditya-BL-D0002,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,Aditya Birla Capital Limited,Vistra ITCL,Catalyst Trusteeship,0.9109,2025-04-03,2025-05-03,Fixed,8.32,3.16,11.48,0.7567,10.2509,2001,208.41,202.02,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,16,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.21,0.14,0.37,0.52,0.65,0.22,0.52
D0003,,Karur-Gold-D0003,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,Gold,PSL,Karur Vysya Bank,Axis Trustee,Catalyst Trusteeship,0.9256,2026-05-11,2026-06-11,Fixed,9.18,1.63,10.81,1.7917,10.1572,21564,86.23,82.35,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,11,12,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.09,0.06,0.2,0.16,0.21,0.09,0.22
D0004,,South-BL-D0004,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,BL,PSL,South Indian Bank,Vistra ITCL,IDBI Trusteeship,0.9039,2024-04-22,2024-05-22,Fixed,9.5,2.57,12.07,1.6679,11.0396,10117,272.48,257.17,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,20,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.27,0.14,0.45,0.28,1.04,0.38,0.68
D0005,,Punjab-SME-D0005,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,SME,NPSL,Punjab and Sind Bank,Axis Trustee,Vistra ITCL,0.8938,2025-10-03,2025-11-03,MCLR Linked,6.92,2.47,9.39,1.2764,8.769,4620,342.62,327.99,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,43,9,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.34,0.25,0.57,0.64,0.71,0.25,0.86
D0006,,DCB-HCF-D0006,Active,FY25,FY25 Q1,IIFL Finance Limited,PTC,HCF,PSL,DCB Bank,Axis Trustee,Vistra ITCL,0.9301,2024-06-02,2024-07-02,Fixed,7.34,1.98,9.32,0.6639,8.6284,19211,86.77,80.63,A+(SO),A+(SO),0.0,0.0,Senior,Cash Collateral,3.02,0.05,77,0,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.09,0.09,0.11,0.11,0.23,0.12,0.22
D0007,,Bandhan-LAP-D0007,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,LAP,NPSL,Bandhan Bank,IDBI Trusteeship,IDBI Trusteeship,0.8797,2025-09-04,2025-10-04,MCLR Linked,5.73,3.5,9.23,1.9531,8.1508,8245,22.66,21.11,AA+(SO),AA+(SO),0.0,0.0,Subordinate,Cash Collateral,1.12,0.1,54,17,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.02,0.02,0.06,0.02,0.07,0.02,0.06
D0008,,UCO-Gold-D0008,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,Gold,NPSL,UCO Bank,Axis Trustee,Vistra ITCL,0.9429,2024-09-03,2024-10-03,MCLR Linked,10.07,1.97,12.04,1.9036,11.5307,19470,330.43,317.17,A+(SO),A+(SO),0.0,0.0496,Senior,Overcollateralization,16.39,0.05,11,6,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.33,0.37,0.7,0.38,0.94,0.33,0.83
D0009,,Aditya-MFI-D0009,Closed,FY25,FY25 Q4,IIFL Finance Limited,PTC,MFI,NPSL,Aditya Birla Capital Limited,Vistra ITCL,Catalyst Trusteeship,0.8592,2025-03-10,2025-04-10,MCLR Linked,9.84,2.91,12.75,1.1354,11.9733,22237,238.73,228.9,AA(SO),AA(SO),0.0,0.0,Senior,Cash Collateral,13.77,0.05,23,13,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.24,0.12,0.61,0.47,0.51,0.3,0.6
D0010,,Punjab-BL-D0010,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,BL,PSL,Punjab and Sind Bank,IDBI Trusteeship,IDBI Trusteeship,0.9476,2026-02-05,2026-03-05,MCLR Linked,8.29,3.17,11.46,1.7162,10.0786,12448,158.98,146.73,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,15,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.08,0.39,0.24,0.61,0.21,0.4
