company,instrument,deal_name,code,status
IIFL Finance Limited,PTC,RBL-Gold-D0001,D0001,Active
IIFL Finance Limited,DA,Aditya-BL-D0002,D0002,Active
IIFL Finance Limited,DA,Karur-Gold-D0003,D0003,Active
IIFL Finance Limited,DA,South-BL-D0004,D0004,Active
IIFL Finance Limited,DA,Punjab-SME-D0005,D0005,Active
IIFL Finance Limited,PTC,DCB-HCF-D0006,D0006,Active
IIFL Finance Limited,PTC,Bandhan-LAP-D0007,D0007,Active
IIFL Finance Limited,PTC,UCO-Gold-D0008,D0008,Active
IIFL Finance Limited,PTC,Aditya-MFI-D0009,D0009,Closed
IIFL Finance Limited,DA,Punjab-BL-D0010,D0010,Active
IIFL Finance Limited,PTC,Bank-MFI-D0011,D0011,Active
IIFL Finance Limited,DA,UCO-BL-D0012,D0012,Active
IIFL Finance Limited,DA,UCO-LAP-D0013,D0013,Closed
IIFL Finance Limited,DA,Federal-LAP-D0014,D0014,Active
IIFL Finance Limited,PTC,Central-MFI-D0015,D0015,Closed
IIFL Finance Limited,PTC,Karur-LAP-D0016,D0016,Active
IIFL Finance Limited,DA,DCB-SME-D0017,D0017,Active
IIFL Finance Limited,PTC,RBL-Gold-D0018,D0018,Active
IIFL Finance Limited,DA,Punjab-MFI-D0019,D0019,Active
IIFL Finance Limited,DA,RBL-MFI-D0020,D0020,Closed
IIFL Finance Limited,DA,Bank-MFI-D0021,D0021,Active
IIFL Finance Limited,PTC,DCB-MFI-D0022,D0022,Active
IIFL Finance Limited,DA,UCO-MFI-D0023,D0023,Active
IIFL Finance Limited,PTC,Federal-MFI-D0024,D0024,Active
IIFL Samasta Finance,PTC,UCO-MFI-D0025,D0025,Active
IIFL Finance Limited,PTC,UCO-LAP-D0026,D0026,Active
IIFL Finance Limited,DA,RBL-BL-D0027,D0027,Closed
IIFL Finance Limited,PTC,Bank-SME-D0028,D0028,Active
IIFL Finance Limited,PTC,AU-BL-D0029,D0029,Active
IIFL Finance Limited,DA,South-SME-D0030,D0030,Active
IIFL Finance Limited,PTC,Aditya-HCF-D0031,D0031,Active
