deal_id,month,pos_0dpd,pos_1_30dpd,pos_31_60dpd,pos_61_90dpd,pos_90plus_dpd,cumulative_default_amount
D0001,2024-11-01,208.8,3.18,0.0,0.0,0.0,0.0
D0001,2024-12-01,209.06,3.89,0.71,0.0,0.0,0.0
D0001,2025-02-01,194.1,3.76,1.08,0.14,0.0,0.0
D0001,2025-03-01,191.27,3.73,1.28,0.32,0.04,0.0
D0001,2025-04-01,176.9,3.45,1.27,0.43,0.12,0.0
D0001,2025-05-01,180.85,3.53,1.34,0.53,0.24,0.01
D0001,2025-06-01,160.89,3.14,1.2,0.53,0.33,0.02
D0001,2025-07-01,147.93,2.89,1.11,0.52,0.43,0.03
D0001,2025-08-01,161.03,3.14,1.21,0.59,0.6,0.06
D0001,2025-09-01,156.95,3.06,1.18,0.59,0.72,0.09
D0001,2025-10-01,149.31,2.91,1.13,0.57,0.81,0.12
D0001,2025-11-01,132.31,2.58,1.0,0.51,0.82,0.16
D0001,2025-12-01,126.86,2.47,0.96,0.49,0.89,0.2
D0001,2026-01-01,122.05,2.38,0.92,0.47,0.94,0.24
D0001,2026-02-01,133.23,2.6,1.0,0.51,1.12,0.29
D0001,2026-03-01,128.64,2.51,0.97,0.5,1.17,0.34
D0001,2026-04-01,116.33,2.27,0.88,0.45,1.13,0.4
D0001,2026-05-01,120.54,2.35,0.91,0.47,1.24,0.46
D0001,2026-06-01,108.16,2.11,0.81,0.42,1.18,0.51
D0001,2026-07-01,101.85,1.99,0.77,0.39,1.16,0.57
D0002,2025-04-01,201.69,9.5,0.0,0.0,0.0,0.0
D0002,2025-05-01,194.43,12.88,3.99,0.0,0.0,0.0
D0002,2025-06-01,180.7,13.34,7.11,1.61,0.0,0.0
D0002,2025-07-01,149.62,11.48,7.8,3.2,0.66,0.0
D0002,2025-08-01,149.88,11.64,8.97,4.95,2.19,0.07
D0002,2025-09-01,136.55,10.64,8.74,5.73,4.06,0.27
D0002,2025-10-01,128.12,9.97,8.47,6.16,6.13,0.66
D0002,2025-11-01,110.94,8.61,7.44,5.75,7.48,1.2
D0002,2025-12-01,107.23,8.29,7.21,5.78,9.33,1.94
D0002,2026-01-01,98.83,7.62,6.63,5.43,10.46,2.81
D0002,2026-02-01,91.19,7.01,6.09,5.04,11.23,3.79
D0002,2026-03-01,87.87,6.73,5.84,4.85,12.21,4.88
D0002,2026-04-01,91.1,2.79,3.88,3.94,12.61,5.48
D0002,2026-05-01,84.24,1.8,2.05,2.78,11.74,6.04
D0002,2026-06-01,86.39,1.69,1.29,2.05,12.03,6.64
