deal_id,month,total_pool_outstanding,closing_pos_investor_share,total_bank_payout,total_principal_payout,scheduled_principal_payout,npa_amount,mclr,roi,investor_share_x_roi,data_status
D0001,2024-11-01,211.98,206.7,2.02,6.11,6.09,0.0,8.8449,11.7208,24.23,Available
D0001,2024-12-01,213.66,200.77,1.92,5.93,5.92,0.0,8.6255,11.4576,23.0,Available
D0001,2025-01-01,,,,,,,,,,Incomplete
D0001,2025-02-01,199.08,180.65,1.81,14.35,5.58,0.0,10.4596,11.9944,21.67,Available
D0001,2025-03-01,196.63,175.47,1.56,5.18,5.17,0.0,8.9995,10.6995,18.77,Available
D0001,2025-04-01,182.16,170.43,1.59,5.04,5.03,0.0,9.2232,11.2303,19.14,Available
D0001,2025-05-01,186.49,165.54,1.72,4.89,4.88,0.0,9.2221,12.4524,20.61,Available
D0001,2025-06-01,166.1,160.79,1.68,4.75,4.74,0.0,10.2542,12.5748,20.22,Available
D0001,2025-07-01,152.88,150.86,1.46,9.93,4.6,0.0,9.6886,11.6012,17.5,Available
D0001,2025-08-01,166.58,146.53,1.45,4.33,4.32,0.0,9.2962,11.886,17.42,Available
D0001,2025-09-01,162.5,142.32,1.49,4.21,4.2,1.49,9.8876,12.5659,17.88,Available
D0001,2025-10-01,154.72,138.23,1.22,4.09,4.08,0.0,8.8817,10.6276,14.69,Available
D0001,2025-11-01,137.22,134.26,1.55,3.97,3.96,0.0,10.5333,13.8878,18.65,Available
D0001,2025-12-01,131.66,130.4,1.38,3.86,3.85,0.0,10.2248,12.6984,16.56,Available
D0001,2026-01-01,126.76,126.66,1.35,3.74,3.73,0.0,10.3031,12.7798,16.19,Available
D0001,2026-02-01,138.47,121.06,1.16,5.6,3.63,0.0,8.9795,11.4835,13.9,Available
D0001,2026-03-01,133.78,117.58,1.12,3.48,3.47,0.0,9.0839,11.448,13.46,Available
D0001,2026-04-01,121.05,114.21,1.09,3.37,3.37,0.0,9.193,11.4655,13.09,Available
D0001,2026-05-01,125.51,110.93,1.16,3.28,3.27,0.0,10.2034,12.575,13.95,Available
D0001,2026-06-01,112.68,107.75,1.04,3.18,3.18,0.0,9.7174,11.6164,12.52,Available
D0001,2026-07-01,106.16,104.65,1.06,3.1,3.09,0.0,8.9852,12.1529,12.72,Available
D0002,2025-04-01,211.19,197.52,2.05,10.89,7.46,0.0,9.0469,12.4698,24.63,Available
D0002,2025-05-01,211.31,189.01,2.05,8.51,7.07,0.0,9.6988,13.0125,24.59,Available
D0002,2025-06-01,202.76,179.95,1.47,9.06,6.77,0.0,8.2244,9.8315,17.69,Available
