deal_id,month,collections_available,servicing_fee_paid,senior_interest_paid,senior_principal_paid,subordinate_interest_paid,subordinate_principal_paid,excess_spread_to_originator,ce_opening_balance,ce_drawn_this_month,ce_closing_balance,ce_cover_ratio
D0001,2024-11-01,8.93,0.33,2.02,6.11,0.0,0.0,0.47,10.58,0.0,10.58,0.0512
D0001,2024-12-01,8.59,0.32,1.92,5.93,0.0,0.0,0.42,10.58,0.0,10.58,0.0527
D0001,2025-02-01,17.16,0.29,1.81,14.35,0.0,0.0,0.71,10.58,0.0,10.58,0.0586
D0001,2025-03-01,7.24,0.28,1.56,5.18,0.0,0.0,0.22,10.58,0.0,10.58,0.0603
D0001,2025-04-01,7.61,0.27,1.59,5.04,0.0,0.0,0.71,10.58,0.0,10.58,0.0621
D0001,2025-05-01,7.41,0.27,1.72,4.89,0.0,0.0,0.53,10.58,0.0,10.58,0.0639
D0001,2025-06-01,7.3,0.26,1.68,4.75,0.0,0.0,0.61,10.58,0.0,10.58,0.0658
D0001,2025-07-01,11.94,0.24,1.46,9.93,0.0,0.0,0.31,10.58,0.0,10.58,0.0701
D0001,2025-08-01,6.12,0.24,1.45,4.33,0.0,0.0,0.1,10.58,0.0,10.58,0.0722
D0001,2025-09-01,6.24,0.23,1.49,4.21,0.0,0.0,0.31,10.58,0.0,10.58,0.0743
D0001,2025-10-01,6.0,0.22,1.22,4.09,0.0,0.0,0.47,10.58,0.0,10.58,0.0765
D0001,2025-11-01,5.98,0.22,1.55,3.97,0.0,0.0,0.24,10.58,0.0,10.58,0.0788
D0001,2025-12-01,6.0,0.21,1.38,3.86,0.0,0.0,0.55,10.58,0.0,10.58,0.0811
D0001,2026-01-01,5.91,0.2,1.35,3.74,0.0,0.0,0.62,10.58,0.0,10.58,0.0835
D0001,2026-02-01,7.13,0.2,1.16,5.6,0.0,0.0,0.17,10.58,0.0,10.58,0.0874
D0001,2026-03-01,5.31,0.19,1.12,3.48,0.0,0.0,0.52,10.58,0.0,10.58,0.09
D0001,2026-04-01,5.02,0.18,1.09,3.37,0.0,0.0,0.38,10.58,0.0,10.58,0.0926
D0001,2026-05-01,4.77,0.18,1.16,3.28,0.0,0.0,0.15,10.58,0.0,10.58,0.0954
D0001,2026-06-01,4.43,0.17,1.04,3.18,0.0,0.0,0.04,10.58,0.0,10.58,0.0982
D0001,2026-07-01,4.55,0.17,1.06,3.1,0.0,0.0,0.22,10.58,0.0,10.58,0.1011
D0006,2024-06-01,3.25,0.05,0.65,2.48,0.0,0.0,0.07,3.02,0.0,3.02,0.0358
D0006,2024-07-01,3.08,0.05,0.57,2.31,0.0,0.0,0.15,3.02,0.0,3.02,0.0368
D0006,2024-08-01,3.22,0.04,0.55,2.4,0.0,0.0,0.23,3.02,0.0,3.02,0.0379
D0006,2024-09-01,2.79,0.04,0.66,1.95,0.0,0.0,0.14,3.02,0.0,3.02,0.0389
D0006,2024-10-01,3.02,0.04,0.68,2.03,0.0,0.0,0.27,3.02,0.0,3.02,0.0399
D0006,2024-11-01,2.69,0.04,0.51,1.78,0.0,0.0,0.36,3.02,0.0,3.02,0.0409
D0006,2024-12-01,2.94,0.04,0.6,1.96,0.0,0.0,0.34,3.02,0.0,3.02,0.042
D0006,2025-01-01,2.55,0.04,0.61,1.71,0.0,0.0,0.19,3.02,0.0,3.02,0.0431
D0006,2025-02-01,2.81,0.04,0.57,2.03,0.0,0.0,0.17,3.02,0.0,3.02,0.0443
D0006,2025-03-01,2.57,0.04,0.56,1.85,0.0,0.0,0.12,3.02,0.0,3.02,0.0456
D0006,2025-04-01,2.6,0.04,0.51,1.84,0.0,0.0,0.21,3.02,0.0,3.02,0.0469
D0006,2025-05-01,2.5,0.03,0.53,1.76,0.0,0.0,0.18,3.02,0.0,3.02,0.0482
D0006,2025-06-01,2.44,0.03,0.45,1.68,0.0,0.0,0.28,3.02,0.0,3.02,0.0495
D0006,2025-07-01,2.15,0.03,0.4,1.55,0.0,0.0,0.17,3.02,0.0,3.02,0.0508
D0006,2025-08-01,2.22,0.03,0.5,1.48,0.0,0.0,0.21,3.02,0.0,3.02,0.0521
D0006,2025-09-01,2.02,0.03,0.41,1.56,0.0,0.0,0.02,3.02,0.0,3.02,0.0535
D0006,2025-10-01,2.24,0.03,0.4,1.61,0.0,0.0,0.2,3.02,0.0,3.02,0.0551
D0006,2025-11-01,2.19,0.03,0.42,1.56,0.0,0.0,0.18,3.02,0.0,3.02,0.0567
D0006,2025-12-01,2.17,0.03,0.38,1.53,0.0,0.0,0.23,3.02,0.0,3.02,0.0584
D0006,2026-01-01,1.89,0.03,0.39,1.43,0.0,0.0,0.04,3.02,0.0,3.02,0.0601
D0006,2026-02-01,1.8,0.03,0.38,1.2,0.0,0.0,0.19,3.02,0.0,3.02,0.0615
D0006,2026-03-01,1.71,0.03,0.33,1.22,0.0,0.0,0.13,3.02,0.0,3.02,0.0631
D0006,2026-04-01,1.88,0.03,0.34,1.33,0.0,0.0,0.18,3.02,0.0,3.02,0.0649
D0006,2026-05-01,1.89,0.03,0.34,1.31,0.0,0.0,0.21,3.02,0.0,3.02,0.0668
D0006,2026-06-01,3.13,0.02,0.32,2.63,0.0,0.0,0.16,3.02,0.0,3.02,0.0709
D0006,2026-07-01,1.39,0.02,0.29,1.07,0.0,0.0,0.01,3.02,0.0,3.02,0.0728
D0007,2025-09-01,1.25,0.04,0.0,0.0,0.13,0.99,0.09,1.12,0.0,1.12,
D0007,2025-10-01,1.25,0.03,0.0,0.0,0.14,1.04,0.04,1.12,0.0,1.12,
D0007,2025-11-01,1.21,0.03,0.0,0.0,0.18,0.91,0.09,1.12,0.0,1.12,
D0007,2025-12-01,1.09,0.03,0.0,0.0,0.16,0.83,0.07,1.12,0.0,1.12,
D0007,2026-01-01,1.92,0.03,0.0,0.0,0.14,1.75,0.0,1.12,0.0,1.12,
D0007,2026-02-01,0.95,0.03,0.0,0.0,0.12,0.75,0.05,1.12,0.0,1.12,
D0007,2026-03-01,0.98,0.03,0.0,0.0,0.11,0.79,0.05,1.12,0.0,1.12,
D0007,2026-04-01,0.8,0.02,0.0,0.0,0.1,0.68,0.0,1.12,0.03,1.09,
D0007,2026-05-01,0.78,0.02,0.0,0.0,0.1,0.66,0.0,1.09,0.03,1.06,
D0007,2026-06-01,0.71,0.02,0.0,0.0,0.1,0.59,0.0,1.06,0.03,1.03,
D0007,2026-07-01,0.82,0.02,0.0,0.0,0.11,0.65,0.04,1.03,0.0,1.03,
D0008,2024-09-01,14.55,0.51,3.48,10.06,0.0,0.0,0.5,16.39,0.0,16.39,0.0512
D0008,2024-10-01,14.77,0.49,3.18,10.05,0.0,0.0,1.05,16.39,0.0,16.39,0.0528
D0008,2024-12-01,13.67,0.46,2.83,9.62,0.0,0.0,0.76,16.39,0.0,16.39,0.0563
D0008,2025-01-01,13.52,0.45,2.8,8.93,0.0,0.0,1.34,16.39,0.0,16.39,0.0581
D0008,2025-02-01,13.33,0.43,3.1,8.55,0.0,0.0,1.25,16.39,0.0,16.39,0.0599
D0008,2025-03-01,12.25,0.42,2.67,8.24,0.0,0.0,0.92,16.39,0.0,16.39,0.0618
D0008,2025-04-01,11.36,0.41,2.4,7.61,0.0,0.0,0.94,16.39,0.0,16.39,0.0636
D0008,2025-05-01,11.98,0.4,2.44,8.04,0.0,0.0,1.1,16.39,0.0,16.39,0.0657
D0008,2025-06-01,10.13,0.38,2.34,7.34,0.0,0.0,0.07,16.39,0.0,16.39,0.0676
D0008,2025-07-01,11.71,0.37,2.51,7.66,0.0,0.0,1.17,16.39,0.0,16.39,0.0699
D0008,2025-09-01,10.05,0.35,2.16,6.55,0.0,0.0,0.99,16.39,0.0,16.39,0.0742
D0008,2025-10-01,10.11,0.34,2.2,6.56,0.0,0.0,1.01,16.39,0.0,16.39,0.0764
D0008,2025-12-01,16.1,0.31,2.18,13.48,0.0,0.0,0.13,16.39,0.0,16.39,0.0844
D0008,2026-01-01,8.39,0.3,1.64,5.85,0.0,0.0,0.6,16.39,0.0,16.39,0.087
D0008,2026-02-01,15.86,0.28,1.51,13.4,0.0,0.0,0.67,16.39,0.0,16.39,0.0937
D0008,2026-03-01,8.23,0.27,1.79,5.56,0.0,0.0,0.61,16.39,0.0,16.39,0.0968
D0008,2026-04-01,7.58,0.26,1.66,4.91,0.0,0.0,0.75,16.39,0.0,16.39,0.0997
D0008,2026-05-01,7.07,0.25,1.57,4.87,0.0,0.0,0.38,16.39,0.0,16.39,0.1027
D0008,2026-06-01,7.59,0.24,1.58,5.16,0.0,0.0,0.61,16.39,0.0,16.39,0.1062
D0008,2026-07-01,6.97,0.24,1.46,4.68,0.0,0.0,0.59,16.39,0.0,16.39,0.1095
D0009,2025-03-01,9.83,0.22,2.41,6.26,0.0,0.0,0.94,13.77,0.0,13.77,0.0592
D0009,2025-04-01,8.76,0.21,2.42,5.89,0.0,0.0,0.24,13.77,0.0,13.77,0.0608
D0009,2025-05-01,9.43,0.21,2.37,6.0,0.0,0.0,0.85,13.77,0.0,13.77,0.0624
D0009,2025-06-01,8.17,0.2,2.21,5.65,0.0,0.0,0.11,13.77,0.0,13.77,0.0641
D0009,2025-07-01,8.72,0.2,2.36,5.33,0.0,0.0,0.83,13.77,0.0,13.77,0.0657
D0009,2025-08-01,7.95,0.19,2.08,5.26,0.0,0.0,0.42,13.77,0.0,13.77,0.0674
D0009,2025-09-01,8.5,0.19,2.16,5.53,0.0,0.0,0.62,13.77,0.0,13.77,0.0693
D0011,2024-07-01,8.29,0.09,1.47,6.23,0.0,0.0,0.5,6.62,0.0,6.62,0.0526
D0011,2024-08-01,7.3,0.09,1.2,5.49,0.0,0.0,0.52,6.62,0.0,6.62,0.055
D0011,2024-09-01,6.71,0.09,1.2,5.41,0.0,0.0,0.01,6.62,0.0,6.62,0.0576
